Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
297,Mario Lemina,ga GAB,"MF,DF",Wolves,31-241,1993,17,15,"1,364",15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21
298,Bernd Leno,de GER,GK,Fulham,33-057,1992,34,34,"3,060",34,0,1,1,0,0,0,4,0,0,0,0.1,0.1,0,0,0
299,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30-187,1994,29,23,"2,030",22.6,0,1,1,0,0,0,8,0,1,1,1.5,2.5,11,86,24
300,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-160,2004,26,20,"1,810",20.1,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,36,103,68
301,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-067,2001,33,31,"2,714",30.2,1,3,4,1,0,0,5,0,2.6,2.6,3,5.6,92,88,143
302,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-216,2006,19,12,"1,078",12,1,0,1,1,0,0,2,2,0.1,0.1,0.3,0.5,29,57,32
303,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-261,1999,28,24,"2,089",23.2,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6
304,Pedro Lima,br BRA,DF,Wolves,18-303,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11
305,Victor Lindelöf,se SWE,DF,Manchester Utd,30-287,1994,12,4,470,5.2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,9,1
306,Jesper Lindstrøm,dk DEN,FW,Everton,25-060,2000,25,15,"1,239",13.8,0,1,1,0,0,0,2,0,2.1,2.1,2,4.1,30,25,81
307,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-169,2002,33,28,"2,480",27.6,0,1,1,0,0,0,1,0,0.2,0.2,2.3,2.6,72,136,91
308,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-182,1997,24,8,797,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22
309,Saša Lukić,rs SRB,MF,Fulham,28-260,1996,27,25,"2,079",23.1,0,2,2,0,0,0,12,0,1,1,2.6,3.6,37,87,29
310,Joe Lumley,eng ENG,GK,Southampton,30-074,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Massimo Luongo,au AUS,MF,Ipswich Town,32-217,1992,9,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
312,Ian Maatsen,nl NED,DF,Aston Villa,23-051,2002,25,7,887,9.9,1,2,3,1,0,0,2,0,0.7,0.7,2.7,3.4,26,39,84
313,Alexis Mac Allister,ar ARG,MF,Liverpool,26-127,1998,33,30,"2,553",28.4,5,4,9,5,0,0,6,0,2.8,2.8,4.4,7.3,34,170,78
314,James Maddison,eng ENG,MF,Tottenham,28-158,1996,31,21,"1,809",20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10,45,164,95
315,Noni Madueke,eng ENG,FW,Chelsea,23-051,2002,28,23,"1,723",19.1,7,3,10,7,0,0,3,0,8.2,8.2,3.9,12.1,133,63,208
316,Gabriel Magalhães,br BRA,DF,Arsenal,27-132,1997,28,28,"2,363",26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11
317,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23-357,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4
